Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
cute,10,10,0,,,,,your turn,85,93,8,,,,,fake tan unreal color,58,62,4,,,,,,,,,,,,,,,,,,,,,capes,117,119,2,start here,151,,,,,,
lens,17,17,0,,,,,get it,110,118,8,,,,,lip stain,66,70,4,,,,,,,,,,,,,,,,,,,,,start playing,119,121,2,learn more about,224,,,,,,
top,24,24,0,,,,,new friends,112,120,8,,,,,korean skincare,79,83,4,,,,,,,,,,,,,,,,,,,,,adventure awaits,120,122,2,,,,,,,,
loungewear,35,35,0,,,,,fish and chips,132,140,8,,,,,tarte cosmetics,116,120,4,,,,,,,,,,,,,,,,,,,,,jump in,274,276,2,,,,,,,,
tee,49,49,0,,,,,earn money,151,159,8,,,,,sensitive skin,121,125,4,,,,,,,,,,,,,,,,,,,,,play now,4,5,1,,,,,,,,
spring,50,50,0,,,,,free up space,155,163,8,,,,,it now,149,153,4,,,,,,,,,,,,,,,,,,,,,for free,8,9,1,,,,,,,,
most comfortable,61,61,0,,,,,at $3.99,214,222,8,,,,,good deal,18,21,3,,,,,,,,,,,,,,,,,,,,,stressed out,11,12,1,,,,,,,,
soft fabrics,130,130,0,,,,,the right,217,225,8,,,,,50 %off,21,24,3,,,,,,,,,,,,,,,,,,,,,love this game,18,19,1,,,,,,,,
get 15% off,217,217,0,,,,,your baby,232,240,8,,,,,check the product,77,80,3,,,,,,,,,,,,,,,,,,,,,most addictive game,22,23,1,,,,,,,,
most comfortable everyday earrings,344,344,0,,,,,see more,36,43,7,,,,,check the product page,81,84,3,,,,,,,,,,,,,,,,,,,,,"claim 1,000,000 welcome coins",25,26,1,,,,,,,,
sunglasses,5,4,-1,,,,,find out,53,60,7,,,,,friday sale,194,197,3,,,,,,,,,,,,,,,,,,,,,"anytime, anywhere",26,27,1,,,,,,,,
lenses,19,18,-1,,,,,واحصل على,69,76,7,,,,,black friday,14,16,2,,,,,,,,,,,,,,,,,,,,,free to play,29,30,1,,,,,,,,
backpack,33,32,-1,,,,,realtime location,79,86,7,,,,,all day,25,27,2,,,,,,,,,,,,,,,,,,,,,addictive game,30,31,1,,,,,,,,
90% off,37,36,-1,,,,,off your first order,153,160,7,,,,,try this,27,29,2,,,,,,,,,,,,,,,,,,,,,play now for free,47,48,1,,,,,,,,
valentine’s day,76,75,-1,,,,,"anytime, anywhere",175,182,7,,,,,fine lines,53,55,2,,,,,,,,,,,,,,,,,,,,,s harder than you think,74,75,1,,,,,,,,
panty,81,80,-1,,,,,new favorite,219,226,7,,,,,permanent teeth in 24 hours,63,65,2,,,,,,,,,,,,,,,,,,,,,this fun game,76,77,1,,,,,,,,
grab yours,82,81,-1,,,,,what are they hiding,271,278,7,,,,,pressons,74,76,2,,,,,,,,,,,,,,,,,,,,,get a free,213,214,1,,,,,,,,
right now,100,99,-1,,,,,take your,344,351,7,,,,,lotion,95,97,2,,,,,,,,,,,,,,,,,,,,,stress-relieving,238,239,1,,,,,,,,
glove,194,193,-1,,,,,found my perfect hairstyle,32,38,6,,,,,current price,108,110,2,,,,,,,,,,,,,,,,,,,,,train your iq,326,327,1,,,,,,,,
yours now,316,315,-1,,,,,watch out,41,47,6,,,,,now available,110,112,2,,,,,,,,,,,,,,,,,,,,,build a unique viking city,327,328,1,,,,,,,,
sneakers,13,11,-2,,,,,that's impossible,50,56,6,,,,,15% off,111,113,2,,,,,,,,,,,,,,,,,,,,,tap to play,1,1,0,,,,,,,,
for any occasion,27,25,-2,,,,,real people,57,63,6,,,,,scalp oil,176,178,2,,,,,,,,,,,,,,,,,,,,,this game,2,2,0,,,,,,,,
true to size,103,101,-2,,,,,best digital camera filters,67,73,6,,,,,lash,4,5,1,,,,,,,,,,,,,,,,,,,,,free,3,3,0,,,,,,,,
for work,174,172,-2,,,,,right now,81,87,6,,,,,lashes,5,6,1,,,,,,,,,,,,,,,,,,,,,perfect for breaks,6,6,0,,,,,,,,
all sizes,247,245,-2,,,,,low on funds,227,233,6,,,,,men,13,14,1,,,,,,,,,,,,,,,,,,,,,casual,7,7,0,,,,,,,,
for $29,309,307,-2,,,,,app now,228,234,6,,,,,get it,30,31,1,,,,,,,,,,,,,,,,,,,,,game is so much fun,10,10,0,,,,,,,,
last day promotion,312,310,-2,,,,,start your free,274,280,6,,,,,24 hours,38,39,1,,,,,,,,,,,,,,,,,,,,,tricky yet fun puzzles,13,13,0,,,,,,,,
trackpants,327,325,-2,,,,,your free trial,275,281,6,,,,,try it risk-free,92,93,1,,,,,,,,,,,,,,,,,,,,,feeling stressed,14,14,0,,,,,,,,
hands down,440,438,-2,,,,,start your free trial today,34,39,5,,,,,probiotics,106,107,1,,,,,,,,,,,,,,,,,,,,,download now,15,15,0,,,,,,,,
tshirt,12,9,-3,,,,,can you do better,60,65,5,,,,,you guys,260,261,1,,,,,,,,,,,,,,,,,,,,,10 chances,16,16,0,,,,,,,,
black,23,20,-3,,,,,easiest way to go viral,78,83,5,,,,,wig,1,1,0,,,,,,,,,,,,,,,,,,,,,try this little game,17,17,0,,,,,,,,
sweatshirt,29,26,-3,,,,,kissing the wrong brother,172,177,5,,,,,great deal,2,2,0,,,,,,,,,,,,,,,,,,,,,tap to,20,20,0,,,,,,,,
reading glasses,98,95,-3,,,,,live now,208,213,5,,,,,makeup,3,3,0,,,,,,,,,,,,,,,,,,,,,going to love this game,21,21,0,,,,,,,,
exciting content,254,251,-3,,,,,transform your look instantly,262,267,5,,,,,amazing deal,7,7,0,,,,,,,,,,,,,,,,,,,,,puzzle game,24,24,0,,,,,,,,
fits all sizes,324,321,-3,,,,,ai assistant,331,336,5,,,,,shampoo,8,8,0,,,,,,,,,,,,,,,,,,,,,stop playing,32,32,0,,,,,,,,
free delivery,434,431,-3,,,,,ai tutor,28,32,4,,,,,acne,9,9,0,,,,,,,,,,,,,,,,,,,,,real money,35,35,0,,,,,,,,
for women,32,28,-4,,,,,real money,87,91,4,,,,,wigs,10,10,0,,,,,,,,,,,,,,,,,,,,,controlled,38,38,0,,,,,,,,
sandals,34,30,-4,,,,,chat,90,94,4,,,,,women,11,11,0,,,,,,,,,,,,,,,,,,,,,can you solve,44,44,0,,,,,,,,
jumpsuit,41,37,-4,,,,,first song in minutes,121,125,4,,,,,wrinkles,12,12,0,,,,,,,,,,,,,,,,,,,,,play to win,46,46,0,,,,,,,,
plussizefashion,42,38,-4,,,,,download now and start,210,214,4,,,,,perfumes,17,17,0,,,,,,,,,,,,,,,,,,,,,it now,50,50,0,,,,,,,,
up to 40% off,51,47,-4,,,,,short on cash,303,307,4,,,,,dark spots,22,22,0,,,,,,,,,,,,,,,,,,,,,get it,51,51,0,,,,,,,,
tees,200,196,-4,,,,,learna ai,24,27,3,,,,,shopblackfriday,40,40,0,,,,,,,,,,,,,,,,,,,,,take me,60,60,0,,,,,,,,
buttery soft,298,294,-4,,,,,tap to,42,45,3,,,,,sunscreen,45,45,0,,,,,,,,,,,,,,,,,,,,,play to win real cash,63,63,0,,,,,,,,
zip up,371,367,-4,,,,,video chats,166,169,3,,,,,mask,54,54,0,,,,,,,,,,,,,,,,,,,,,100 % free,72,72,0,,,,,,,,
shorts,18,13,-5,,,,,need cash,286,289,3,,,,,see this,56,56,0,,,,,,,,,,,,,,,,,,,,,try it yourself,101,101,0,,,,,,,,
plus size,48,43,-5,,,,,helps you,306,309,3,,,,,body wash,57,57,0,,,,,,,,,,,,,,,,,,,,,think you’re right,146,146,0,,,,,,,,
christmas,58,53,-5,,,,,ai interior design app,390,393,3,,,,,promotion may have ended,61,61,0,,,,,,,,,,,,,,,,,,,,,puzzle adventure,151,151,0,,,,,,,,
for men,59,54,-5,,,,,got you,403,406,3,,,,,try before you buy,190,190,0,,,,,,,,,,,,,,,,,,,,,start now,168,168,0,,,,,,,,
work pants,141,136,-5,,,,,try boo now,13,15,2,,,,,easy to use,262,262,0,,,,,,,,,,,,,,,,,,,,,can you survive,180,180,0,,,,,,,,
womensfashion,11,5,-6,,,,,free episodes,16,18,2,,,,,perfumetiktok,16,15,-1,,,,,,,,,,,,,,,,,,,,,free tile game play now,233,233,0,,,,,,,,
jacket,20,14,-6,,,,,sign up,17,19,2,,,,,deodorant,19,18,-1,,,,,,,,,,,,,,,,,,,,,compete in 1v1 hunting duels,246,246,0,,,,,,,,
dresses,22,16,-6,,,,,watch more episodes,29,31,2,,,,,limited time,20,19,-1,,,,,,,,,,,,,,,,,,,,,for free now,270,270,0,,,,,,,,
summer,25,19,-6,,,,,use code: ae15,51,53,2,,,,,permanent teeth are 24hrs away,24,23,-1,,,,,,,,,,,,,,,,,,,,,puzzles,5,4,-1,,,,,,,,
purse,39,33,-6,,,,,ai video,120,122,2,,,,,pressonnail,26,25,-1,,,,,,,,,,,,,,,,,,,,,dive into game features now,9,8,-1,,,,,,,,
midsize,167,161,-6,,,,,play games,125,127,2,,,,,permanent teeth,29,28,-1,,,,,,,,,,,,,,,,,,,,,get it now,12,11,-1,,,,,,,,
all-day comfort,286,280,-6,,,,,click and download rednote,244,246,2,,,,,shop now,33,32,-1,,,,,,,,,,,,,,,,,,,,,this game is so addictive,19,18,-1,,,,,,,,
watches,62,55,-7,,,,,discover exciting live streams,259,261,2,,,,,concealer,35,34,-1,,,,,,,,,,,,,,,,,,,,,try it,23,22,-1,,,,,,,,
classy,294,287,-7,,,,,best app,327,329,2,,,,,perfumetok,42,41,-1,,,,,,,,,,,,,,,,,,,,,play this,37,36,-1,,,,,,,,
longsleeveshirt,378,371,-7,,,,,best ai interior design app,393,395,2,,,,,flash sale,44,43,-1,,,,,,,,,,,,,,,,,,,,,can you solve this puzzle,40,39,-1,,,,,,,,
blue light,380,373,-7,,,,,click to,7,8,1,,,,,for a limited time,119,118,-1,,,,,,,,,,,,,,,,,,,,,solve this,55,54,-1,,,,,,,,
long sleeve,56,48,-8,,,,,try now,11,12,1,,,,,free shipping,6,4,-2,,,,,,,,,,,,,,,,,,,,,personality iq test,65,64,-1,,,,,,,,
rings,91,83,-8,,,,,watch now,19,20,1,,,,,hairgrowth,15,13,-2,,,,,,,,,,,,,,,,,,,,,that's impossible,83,82,-1,,,,,,,,
white,215,207,-8,,,,,go viral,21,22,1,,,,,right now,60,58,-2,,,,,,,,,,,,,,,,,,,,,can you solve it,150,149,-1,,,,,,,,
short sleeve,377,369,-8,,,,,new app users,22,23,1,,,,,wiginstall,73,71,-2,,,,,,,,,,,,,,,,,,,,,know what,156,155,-1,,,,,,,,
christmasgiftideas,102,93,-9,,,,,for new app users,23,24,1,,,,,real results,134,132,-2,,,,,,,,,,,,,,,,,,,,,best puzzle game,163,162,-1,,,,,,,,
smartwatch,126,117,-9,,,,,click to see more,25,26,1,,,,,daily use,265,263,-2,,,,,,,,,,,,,,,,,,,,,parkour like a beast,164,163,-1,,,,,,,,
so cute,134,125,-9,,,,,free download,49,50,1,,,,,see results,269,267,-2,,,,,,,,,,,,,,,,,,,,,rule the urban street,165,164,-1,,,,,,,,
activewear,152,143,-9,,,,,get up,74,75,1,,,,,serum,23,20,-3,,,,,,,,,,,,,,,,,,,,,your phone,208,207,-1,,,,,,,,
polarizedsunglass,384,375,-9,,,,,men,291,292,1,,,,,hair care,71,68,-3,,,,,,,,,,,,,,,,,,,,,play and win,220,219,-1,,,,,,,,
fleece,389,380,-9,,,,,hair styles,388,389,1,,,,,fragrances,72,69,-3,,,,,,,,,,,,,,,,,,,,,easy to play,261,260,-1,,,,,,,,
leather,31,21,-10,,,,,for free,1,1,0,,,,,click the,186,183,-3,,,,,,,,,,,,,,,,,,,,,play to win real money,36,34,-2,,,,,,,,
bracelet,75,65,-10,,,,,free,2,2,0,,,,,eyelashes,34,30,-4,,,,,,,,,,,,,,,,,,,,,see this,43,41,-2,,,,,,,,
high-waist,128,118,-10,,,,,download now,3,3,0,,,,,great deal today,67,63,-4,,,,,,,,,,,,,,,,,,,,,free coins,49,47,-2,,,,,,,,
red,165,155,-10,,,,,try it,4,4,0,,,,,lip balm,70,66,-4,,,,,,,,,,,,,,,,,,,,,free play,95,93,-2,,,,,,,,
streetwear,53,42,-11,,,,,this app,5,5,0,,,,,for men,83,79,-4,,,,,,,,,,,,,,,,,,,,,please help me,110,108,-2,,,,,,,,
springfashion,55,44,-11,,,,,try it now,6,6,0,,,,,60 % off,161,157,-4,,,,,,,,,,,,,,,,,,,,,this app,178,176,-2,,,,,,,,
60 % off,83,72,-11,,,,,it now,9,9,0,,,,,skincare routine,163,159,-4,,,,,,,,,,,,,,,,,,,,,free games,186,184,-2,,,,,,,,
sale ends tonight,96,85,-11,,,,,try this,10,10,0,,,,,water flosser,233,229,-4,,,,,,,,,,,,,,,,,,,,,click to,210,208,-2,,,,,,,,
girls,182,171,-11,,,,,get your,14,14,0,,,,,cream,52,47,-5,,,,,,,,,,,,,,,,,,,,,can you solve them all,212,210,-2,,,,,,,,
shirts,52,40,-12,,,,,download now and try it,37,37,0,,,,,lip combo,140,135,-5,,,,,,,,,,,,,,,,,,,,,simulator game,299,297,-2,,,,,,,,
travelbag,72,60,-12,,,,,start your free trial,48,48,0,,,,,eyelash,32,26,-6,,,,,,,,,,,,,,,,,,,,,free today,331,329,-2,,,,,,,,
hat,79,67,-12,,,,,watch for free,64,64,0,,,,,try it,48,42,-6,,,,,,,,,,,,,,,,,,,,,for free today,332,330,-2,,,,,,,,
yogapant,116,104,-12,,,,,all for free,95,95,0,,,,,nskincare,50,44,-6,,,,,,,,,,,,,,,,,,,,,play for free,28,25,-3,,,,,,,,
project cloud shoes,271,258,-13,,,,,wanna know,104,104,0,,,,,moisturizer,65,59,-6,,,,,,,,,,,,,,,,,,,,,challenge your brain,59,56,-3,,,,,,,,
limited stock,283,270,-13,,,,,location tracking app,256,256,0,,,,,peel shot,232,226,-6,,,,,,,,,,,,,,,,,,,,,solve the puzzle,97,94,-3,,,,,,,,
straight leg,289,276,-13,,,,,come back,295,295,0,,,,,for daily,315,309,-6,,,,,,,,,,,,,,,,,,,,,play instantly,107,104,-3,,,,,,,,
coolest contacts for the holidays,405,392,-13,,,,,find love,300,300,0,,,,,castor oil,317,311,-6,,,,,,,,,,,,,,,,,,,,,test your skills,113,110,-3,,,,,,,,
cottonunderwear,406,393,-13,,,,,no ads,409,409,0,,,,,miss it,366,360,-6,,,,,,,,,,,,,,,,,,,,,many failed before,133,130,-3,,,,,,,,
mini,73,59,-14,,,,,continue watching,8,7,-1,,,,,calms your prostate down,101,94,-7,,,,,,,,,,,,,,,,,,,,,play games,155,152,-3,,,,,,,,
lingerie,125,111,-14,,,,,watch more,12,11,-1,,,,,insane deal,383,376,-7,,,,,,,,,,,,,,,,,,,,,join the challenge now,161,158,-3,,,,,,,,
smart ring,399,385,-14,,,,,new app,18,17,-1,,,,,game changer,103,95,-8,,,,,,,,,,,,,,,,,,,,,jump in now,281,278,-3,,,,,,,,
for a limited time,181,166,-15,,,,,play this,30,29,-1,,,,,black,104,96,-8,,,,,,,,,,,,,,,,,,,,,build legendary robots,287,284,-3,,,,,,,,
high waisted,213,198,-15,,,,,play this game,31,30,-1,,,,,glass skin,127,119,-8,,,,,,,,,,,,,,,,,,,,,mahjong puzzle,297,294,-3,,,,,,,,
strapless bra,421,406,-15,,,,,video call,91,90,-1,,,,,teeth whitening,230,222,-8,,,,,,,,,,,,,,,,,,,,,let's roll,324,321,-3,,,,,,,,
belt,95,78,-17,,,,,wanna know what happens next,102,101,-1,,,,,vitamin c,240,232,-8,,,,,,,,,,,,,,,,,,,,,think you’re pro,56,52,-4,,,,,,,,
smartglass,115,98,-17,,,,,don’t miss,218,217,-1,,,,,foundation,46,37,-9,,,,,,,,,,,,,,,,,,,,,try level 3,57,53,-4,,,,,,,,
skirt,107,89,-18,,,,,this game,15,13,-2,,,,,wigtok,55,46,-9,,,,,,,,,,,,,,,,,,,,,90% of players failed,80,76,-4,,,,,,,,
winterfashion,110,92,-18,,,,,get paid,27,25,-2,,,,,body oil,100,91,-9,,,,,,,,,,,,,,,,,,,,,try now,90,86,-4,,,,,,,,
perfect for daily use,379,361,-18,,,,,get 15% off,56,54,-2,,,,,self tanner,200,191,-9,,,,,,,,,,,,,,,,,,,,,rpg,111,107,-4,,,,,,,,
valentinesdaygift,159,140,-19,,,,,playing games,101,99,-2,,,,,botox,377,368,-9,,,,,,,,,,,,,,,,,,,,,download and play,217,213,-4,,,,,,,,
cowboy boots,338,319,-19,,,,,you try,205,203,-2,,,,,buy 2 get 1 free,288,278,-10,,,,,,,,,,,,,,,,,,,,,dive into the fun,242,238,-4,,,,,,,,
size medium,339,320,-19,,,,,download for free,221,219,-2,,,,,add to cart,289,279,-10,,,,,,,,,,,,,,,,,,,,,start your journey,323,319,-4,,,,,,,,
discounts disappear soon,123,103,-20,,,,,free download now,222,220,-2,,,,,body mist,293,283,-10,,,,,,,,,,,,,,,,,,,,,happy new year,339,335,-4,,,,,,,,
for spring,87,66,-21,,,,,peace of mind,365,363,-2,,,,,antiagingskincare,296,286,-10,,,,,,,,,,,,,,,,,,,,,you win,350,346,-4,,,,,,,,
girl,258,237,-21,,,,,free up,47,44,-3,,,,,toner pads,339,329,-10,,,,,,,,,,,,,,,,,,,,,see how,352,348,-4,,,,,,,,
for summer,142,120,-22,,,,,know what,65,62,-3,,,,,give it a try,350,340,-10,,,,,,,,,,,,,,,,,,,,,brand new,472,468,-4,,,,,,,,
scrubs,251,229,-22,,,,,download today,146,143,-3,,,,,human hair,47,36,-11,,,,,,,,,,,,,,,,,,,,,only people,480,476,-4,,,,,,,,
tops,243,220,-23,,,,,clean up,188,185,-3,,,,,eyeliner,86,75,-11,,,,,,,,,,,,,,,,,,,,,iq of 120 or higher,75,70,-5,,,,,,,,
code new,127,102,-25,,,,,level up,364,361,-3,,,,,dry skin,93,82,-11,,,,,,,,,,,,,,,,,,,,,super stress-relieving games,85,80,-5,,,,,,,,
best sellers,390,365,-25,,,,,100% private security,420,417,-3,,,,,black friday sale,151,140,-11,,,,,,,,,,,,,,,,,,,,,play anytime,92,87,-5,,,,,,,,
midsizefashion,140,114,-26,,,,,download the,20,16,-4,,,,,lash clusters,177,166,-11,,,,,,,,,,,,,,,,,,,,,try this,141,136,-5,,,,,,,,
contacts,204,178,-26,,,,,short dramas,44,40,-4,,,,,lipplumper,229,218,-11,,,,,,,,,,,,,,,,,,,,,commute game that’s not boring,34,28,-6,,,,,,,,
overalls,227,201,-26,,,,,90% of players failed,59,55,-4,,,,,gel,85,73,-12,,,,,,,,,,,,,,,,,,,,,join the fun,67,61,-6,,,,,,,,
bodysuits,394,368,-26,,,,,join now,139,135,-4,,,,,toothbrush,98,86,-12,,,,,,,,,,,,,,,,,,,,,win real cash,73,67,-6,,,,,,,,
8 pieces,169,142,-27,,,,,much fun,177,173,-4,,,,,don’t miss,192,180,-12,,,,,,,,,,,,,,,,,,,,,"play anytime, anywhere",84,78,-6,,,,,,,,
bralette,269,241,-28,,,,,so much fun,178,174,-4,,,,,20 % off,287,275,-12,,,,,,,,,,,,,,,,,,,,,miss out,105,99,-6,,,,,,,,
sweats,275,247,-28,,,,,tap to play,26,21,-5,,,,,hairgrowthoil,310,298,-12,,,,,,,,,,,,,,,,,,,,,help me,149,143,-6,,,,,,,,
bagsmart,404,376,-28,,,,,your iphone,118,113,-5,,,,,lipstick,51,38,-13,,,,,,,,,,,,,,,,,,,,,mini,191,185,-6,,,,,,,,
tote bag,277,248,-29,,,,,time tracking,167,162,-5,,,,,"shine brighter, smile wider",124,111,-13,,,,,,,,,,,,,,,,,,,,,merry christmas,342,336,-6,,,,,,,,
blouse,322,293,-29,,,,,tap here,374,369,-5,,,,,edge control,173,160,-13,,,,,,,,,,,,,,,,,,,,,only 1% people,408,402,-6,,,,,,,,
tracksuit,332,302,-30,,,,,real time,39,33,-6,,,,,discounts may vary,394,381,-13,,,,,,,,,,,,,,,,,,,,,dominate your opponents,488,482,-6,,,,,,,,
baggysweats,400,370,-30,,,,,loved ones,40,34,-6,,,,,razor,130,116,-14,,,,,,,,,,,,,,,,,,,,,train your brain,109,102,-7,,,,,,,,
two piece set,218,186,-32,,,,,click to download,150,144,-6,,,,,anti-aging,155,141,-14,,,,,,,,,,,,,,,,,,,,,think you can do better,130,123,-7,,,,,,,,
romper,195,162,-33,,,,,watch the full episode,159,153,-6,,,,,sale prices,249,235,-14,,,,,,,,,,,,,,,,,,,,,super satisfying,131,124,-7,,,,,,,,
brown,361,328,-33,,,,,easy to use,462,456,-6,,,,,join us live now,397,383,-14,,,,,,,,,,,,,,,,,,,,,only 1% can pass,145,138,-7,,,,,,,,
shop our,105,71,-34,,,,,50 %off,35,28,-7,,,,,blackhead,139,124,-15,,,,,,,,,,,,,,,,,,,,,raise virtual pets,167,160,-7,,,,,,,,
summerdress,211,177,-34,,,,,call me now,115,107,-8,,,,,undereye corrector,255,240,-15,,,,,,,,,,,,,,,,,,,,,clear all the tiles,228,221,-7,,,,,,,,
suit,366,332,-34,,,,,link in bio,157,149,-8,,,,,new year's sale,117,101,-16,,,,,,,,,,,,,,,,,,,,,minutes a day,229,222,-7,,,,,,,,
slippers,144,109,-35,,,,,windows,215,207,-8,,,,,get this,185,169,-16,,,,,,,,,,,,,,,,,,,,,real cash,48,40,-8,,,,,,,,
oversizedshirt,187,151,-36,,,,,find your match now,457,449,-8,,,,,buy it,263,247,-16,,,,,,,,,,,,,,,,,,,,,can your brain handle this,104,96,-8,,,,,,,,
try this,318,282,-36,,,,,find your perfect,469,461,-8,,,,,grab this,264,248,-16,,,,,,,,,,,,,,,,,,,,,why is this so hard,122,114,-8,,,,,,,,
watchband,270,233,-37,,,,,free today only,137,128,-9,,,,,signs of aging,307,291,-16,,,,,,,,,,,,,,,,,,,,,have fun,123,115,-8,,,,,,,,
workboot,280,242,-38,,,,,digital camera,472,463,-9,,,,,grab it,99,81,-18,,,,,,,,,,,,,,,,,,,,,clear the board,203,195,-8,,,,,,,,
womensclothing,323,285,-38,,,,,exciting content,45,35,-10,,,,,eye bags,80,60,-20,,,,,,,,,,,,,,,,,,,,,for office workers,204,196,-8,,,,,,,,
bluecollar,391,353,-38,,,,,easy and fun,76,66,-10,,,,,grab it now,154,133,-21,,,,,,,,,,,,,,,,,,,,,the top,223,215,-8,,,,,,,,
sweaters,436,398,-38,,,,,tracking calories,77,67,-10,,,,,perfumecollection,278,257,-21,,,,,,,,,,,,,,,,,,,,,build your own legend,363,355,-8,,,,,,,,
laptopbag,385,345,-40,,,,,5 minutes,88,78,-10,,,,,hairgrowth #hairgrowthtips,434,413,-21,,,,,,,,,,,,,,,,,,,,,sign up now,414,406,-8,,,,,,,,
first order,386,346,-40,,,,,boost your credit,198,188,-10,,,,,hair extensions,159,137,-22,,,,,,,,,,,,,,,,,,,,,for fun,125,116,-9,,,,,,,,
any occasion,106,64,-42,,,,,girls,434,424,-10,,,,,dark circles,165,142,-23,,,,,,,,,,,,,,,,,,,,,looks easy,129,120,-9,,,,,,,,
smart glasses,350,308,-42,,,,,your free,52,41,-11,,,,,hair removal,211,188,-23,,,,,,,,,,,,,,,,,,,,,most people,170,161,-9,,,,,,,,
bags,120,77,-43,,,,,photoshoot,240,229,-11,,,,,body butter,426,403,-23,,,,,,,,,,,,,,,,,,,,,play free now,413,404,-9,,,,,,,,
ladies,191,147,-44,,,,,meet people,269,258,-11,,,,,tintedbrowgel,219,195,-24,,,,,,,,,,,,,,,,,,,,,good game,429,420,-9,,,,,,,,
denimdress,313,269,-44,,,,,all day,438,427,-11,,,,,hands down,223,199,-24,,,,,,,,,,,,,,,,,,,,,save yourself,269,259,-10,,,,,,,,
minimizer bra,304,259,-45,,,,,play now,142,130,-12,,,,,tintedsunscreen,251,227,-24,,,,,,,,,,,,,,,,,,,,,free now,136,125,-11,,,,,,,,
makeupbag,343,296,-47,,,,,miss out,192,180,-12,,,,,shopping cart,438,414,-24,,,,,,,,,,,,,,,,,,,,,"5,000,000 free coins",176,165,-11,,,,,,,,
workpant,273,225,-48,,,,,make money,350,338,-12,,,,,facemask,433,408,-25,,,,,,,,,,,,,,,,,,,,,welcome bonus,192,181,-11,,,,,,,,
classic,183,134,-49,,,,,try free,437,425,-12,,,,,purple,242,216,-26,,,,,,,,,,,,,,,,,,,,,get free,236,225,-11,,,,,,,,
"everyday look, elevated",236,187,-49,,,,,gift cards,446,434,-12,,,,,body care,129,102,-27,,,,,,,,,,,,,,,,,,,,,get me,307,296,-11,,,,,,,,
fashion,198,148,-50,,,,,perfect match,447,435,-12,,,,,christmas,182,154,-28,,,,,,,,,,,,,,,,,,,,,please download,383,372,-11,,,,,,,,
20 % off,205,154,-51,,,,,your childhood,119,106,-13,,,,,i love this,184,156,-28,,,,,,,,,,,,,,,,,,,,,mmorpg game,405,394,-11,,,,,,,,
womens,225,174,-51,,,,,next level,346,333,-13,,,,,collagen,292,264,-28,,,,,,,,,,,,,,,,,,,,,give it a shot,427,416,-11,,,,,,,,
casualoutfits,226,175,-51,,,,,live streams,360,347,-13,,,,,magnetic eyelashes,360,332,-28,,,,,,,,,,,,,,,,,,,,,"build towers, blast foes",100,88,-12,,,,,,,,
blue,190,138,-52,,,,,click to download and watch,453,440,-13,,,,,wake up,364,334,-30,,,,,,,,,,,,,,,,,,,,,unique casual games,239,227,-12,,,,,,,,
hurry up,435,381,-54,,,,,free shipping,75,61,-14,,,,,stoothpaste,454,420,-34,,,,,,,,,,,,,,,,,,,,,mobile game,372,360,-12,,,,,,,,
giftsforher,438,382,-56,,,,,start watching now,106,92,-14,,,,,ladies,125,90,-35,,,,,,,,,,,,,,,,,,,,,block puzzle,126,113,-13,,,,,,,,
sock,248,191,-57,,,,,your door,311,297,-14,,,,,it works,341,306,-35,,,,,,,,,,,,,,,,,,,,,chance to win,317,304,-13,,,,,,,,
socks,249,192,-57,,,,,click to continue,358,344,-14,,,,,must have,342,307,-35,,,,,,,,,,,,,,,,,,,,,find the,371,358,-13,,,,,,,,
yoga pants,291,232,-59,,,,,download it now,366,352,-14,,,,,body cream,172,136,-36,,,,,,,,,,,,,,,,,,,,,give it,377,364,-13,,,,,,,,
linen,336,275,-61,,,,,every day,99,84,-15,,,,,make it,340,304,-36,,,,,,,,,,,,,,,,,,,,,you try it,388,375,-13,,,,,,,,
hoes,419,358,-61,,,,,casual fun,246,231,-15,,,,,mascara,113,74,-39,,,,,,,,,,,,,,,,,,,,,game on,183,169,-14,,,,,,,,
